oid,fountain_type,fountain_code,dog_friendly,amt,coordinates,open_map_address
306,ברזית גליל,B10,False,,"{'x': 34.80843396985397, 'y': 32.05451511409274}","77, מעפילי אגוז, תל אביב - יפו, נוה חן, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
307,ברזיית עלה,B14,True,,"{'x': 34.8016517275761, 'y': 32.10062812927843}","המועצה לישראל יפה, גשר ראש ציפור, תל אביב - יפו, בבלי, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 5253527, ישראל"
308,ברזיית עלה,B14,True,,"{'x': 34.793704825354894, 'y': 32.096574589557044}","74, בני דן, הצפון החדש - החלק הצפוני, תל אביב - יפו, הצפון החדש, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 5268104, ישראל"
309,ברזית גליל,B10,False,,"{'x': 34.767153258296695, 'y': 32.077720269015956}","83, הירקון, כרם התימנים, תל אביב - יפו, לב תל-אביב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6560475, ישראל"
310,ברזית גליל,B10,False,,"{'x': 34.77866421608556, 'y': 32.08187499771079}","84, שדרות דוד בן גוריון, הצפון הישן - החלק הדרומי, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6343527, ישראל"
311,ברזיית עלה,B14,False,,"{'x': 34.780875559722176, 'y': 32.06842618078455}","84, יהודה הלוי, תל אביב - יפו, לב תל-אביב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6713203, ישראל"
312,קולר,B16,False,,"{'x': 34.780875559722176, 'y': 32.06842618078455}","84, יהודה הלוי, תל אביב - יפו, לב תל-אביב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6713203, ישראל"
313,ברזית גליל,B10,False,,"{'x': 34.799708768103045, 'y': 32.04542868418593}","87, בושם, תל אביב - יפו, לבנה, ידידיה, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
314,ברזית גליל,B10,False,,"{'x': 34.802623145740576, 'y': 32.05944696285875}","89, לה גווארדיה, יד אליהו, תל אביב - יפו, תל חיים, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
315,ברזית גליל,B10,False,,"{'x': 34.799739878745775, 'y': 32.046022217455054}","91א, בושם, תל אביב - יפו, לבנה, ידידיה, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
316,ברזית גליל,B10,True,,"{'x': 34.77948893334611, 'y': 32.081401793906295}","94, שדרות דוד בן גוריון, הצפון הישן - החלק הדרומי, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6343527, ישראל"
